uid,Gender,Income,Goal_health,Goal_incex,Goal_indliving,Goal_self,Goal_food,Goal_sports,Goal_memory,Goal_sickness,Goal_religion,Goal_travel,Goal_polit,Goal_culture,Goal_hobby,Goal_commun,Goal_economy,Goal_work,Goal_familiy,Goal_relation,Goal_others,Health,Functioning,QoL,Happiness,Mother_tongue,Pet,Exercise,Hobby,Grandchildren,Education
91,1,1,6,5,6,1,2,4,6,1,1,4,1,4,1,5,5,0,6,6,4,4,4,4,4,2,0,1,0,1,3
92,1,1,6,5,6,6,5,5,6,6,0,3,4,5,1,2,3,2,6,4,4,4,4,4,5,1,0,1,1,1,3
93,2, ,6,5,6,5,5,0,6,6,0,4,4,5,6,0,5,0,2,6,5, , , , , , , , , , 
95,1,1,6,6,6,3,1,6,6,4,1,6,1,3,3,2,6,4,6,6,6,3,3,4,5,1,0,1,0,0,2
96,2,1,6,5,6, ,5,5,6,6,4,4,6,5,4,3,6,0,5,5,5, , , , , , , , , , 
99,2,1,6,6,6,4,6,6,6,2,1,2,5,4,6,3,6,1,6,5,5,4,5,3,3,1,0,1,1,1,1
100,2,1,5,4,6,4,4,3,4,5,4,2,1,2,1,4,5,1,3,4,4,3,3,3,3,2,0,1,1,0,1
101,2,1,5,5,5,3,2,4,3,2,3,2,3,4,4,2,3,0,2,4,3,4,5,5,5,1,1,1,1,0,3
103,1,2,6,6,6,4,5,6,6,5,3,3,3,4,5,3,6,2,4,5,4,3,3,4,4,1,0,1,1,1,2
104,2,2,6,6,6,3,6,5,3,3,0,6,4,3,4,0,6,6,6,6,6,4,4,3,3,1,1,1,0,0,1
105,1,1,5,5,4,3,4,5,5,4,2,5,4,3,5,2,3,1,1,3,3,3,3,4,4,1,0,1,0,0,1
106,2,1,6,6,6,0,0,2,6,1,0,0,4,4,3,4,6,0,6,0,6,4,3,3,1,1,0,1,0,1,3
109,1,2,2,2,4,1,4,1,4, ,0,3,1,2,4,1,4,1,4,2,4,3,3,1,3,1,1,0,0,0,2
112,2,1,6,6,6,5,5,5,6,3,0,5,5,5,4,3,4,2,6,6,6,4,4,4,4,2,0,1,1,1,3
113,2,1,6,4,5,4,5,5,5,4,4,3,3,4,5,3,4,2,5,5,4,4,4,3,3,1,0,1,1,1,1
114,2,1,6,6,3,4,6,6,6,6,1,3,6,6,5,5,6,4,6,6,6,3,3,3,0,1,1,1,1,0,3
115,2,1,5,5,6,5,5,5,6,1,3,4,3,4,3,2,4,5,5,5,5,4,4,3,3,1,0,1,0,0,3
116,2,1,5,3,6,5,3,3,6,3,0,0,1,2,3,0,4,4,3,3,3,4,4,3,3,1,1,1,1,0,1
117,2,1, , ,6,5,5,2,4, ,1,1,4,4,4,3,3,0,3,6,4,1,3,1,3,1,0,1,1,1,3
120,2,2,6,5,6,5,6,5,5,5,3,6,6,6,5,5,5,2,3,6,3,3,3,4,4,1,1,1,1,0,3
122,1, ,0,5,0,0,1,4,0,0,0,5,6, ,5,5,3,6, ,5,5,5,5,5,5, , ,1,1,1,3
123,1,2,6,6,3,4,3,6,6, ,0,3,5,6,6,2,1,6,3,5,4, , , , , , , , , , 
124,2,2,6,6,6,6,5,6,6,6,2,4,5,5,6,4,6,6,2,5,5,5,5,5,5,1,0,1,0,0,2
125,2,2,6,6,5,6,5,6,6,6,1,6,6,6,6,6,6,0,6,6,6,5,5,5,5,1,0,1,1,1,1
126,2,1,5,5,0,1,5,5,5,2,1,3,0,3,3,2,2,0,5,5,5,4,4,4,4,2,0,1,1,1,3
127,1,1,4,4, ,3,4,3,3,2,0,4,2,2,3,1,4,2,5,5,5, , , , , , , , , , 
128, , ,3,3,3,5,3,2,3,1,2,3,3,4,3,3,2,3,6,4, , , , , , , , , , , 
129,1,2,3,4,4,4,4,3,3,2,2,4,4,4,3,3,3,5,6,5,4,4,5,5,5, ,1,0,0,0,1
130,2,1,6,6,6,6,3,6,6,0,0,5,6,6,0,5,0,1,0,6,5,5,5,5,5,2,0,1,1,0,3
132,2,2,5,5,6,2,6,5,3,4,0,4,1,5,2,2,6,3,1,5,1,3,3,4,3,1,0,1,1,0,3
133,2,2,5,5,6,6,5,6,6,2,3,4,3,6,6,6,3,2,6,5,5, , , , , , , , , , 
139,2,1,6,5,6,5,5,5,6,6,3,5,5,5,5,3,5,4,6,6,6,3,4,5,5,1,0,1,1,0,2
141,2,1,6,6,6,4,4,3,6,3,1,5,3,3,1,1,5,1,5,6,5,3,3,3,3,1,0,0,0,1,2
142,1,1,6,6,6,4,4,6,6,6,4,3,4,5,6,4,3,3,6,6,6,5,5,5,4,1,0,1,1,0,3
144,2,2,6,6,6,3,3,6,4,0,0,0,4,6,5,2,4,0,0,6,3,5,5,5,5,1,0,1,1,0,2
145,2,1,5,4,6,5,5,5,5,3,5,4,4,4,3,5,3,5,4,5,5,4,4,4,3,1,0,1,1,0,2
146,1,1,4,3,6,2,2,2,4,2,0,1,2,2,0,0,4,3,0,3,0, , , , , , , , , , 
152,2,1,5,5,4,5,2,5,5,3,4,3,3,5,5,5,4,4,6,6,5,4,4,4,4,3,0,1,1,0,2
154,2,2,5,5,6,4,4,5,5,3,6,6,4,4,6,2,3,3,6,6,5,4,4,5,5,1,0,1,1,1,3
157,2,1,5,5,6,5,5,5,5,5,3,5,2,4,1,2,5,5,4,3,4,3,4,4,3,1,0,1,0,0,2
158,2,1,5,5,5,3,3,3,3,5,0,1,0,5,5,0,3,3,3,3,3,1,3,1,0,1,0,1,0,0,3
159,1,2,5,5,6,4,5,4,4,6,0,2,1,4,5,1,4,2,5,5,3,1,1,3,1,1,1,1,1,0,3
161,2,2,6,6,6,6,6,6,6,6,4,4,5,6,6,0,5,0,5,6,5,5,5,5,5,1,0,1,1,1,3
162,1,2,5,5,6,1,4, ,5,5,0,3,4,2,6,1,5,6,0,5,2,4,5,5,5,1,0,1,1,1,3
164,2,2,5,5,4,4,3,4,3,0,3,2,4,4,5,3,3,0,4,4,5,5,5,5,5,1,0,1,1,1,3
166,2,1,6,6,6,6,6,6,6,1,4,5,3,6,6,2,4,6,3,6,3,5,5,5,5,1,0,1,1,0,3
167,1,2,6,5,6,6,5,5,5,3,0,3,4,4,3,2,4,5,6,6,6,5,5,3,4,1,0,1,1,0,3
168,1,1,4,2,4,4,3,3,4,4,6,4,4,4,4,2,3,3,6,5,5,3,3,4,4, ,0,1,1,0,2
169,2,1,4,6,5,4,5,5,5,2,6,2,4,5,6,2,3,4,6,6,6,4,4,4,4,1,0,0,1,0,1
170,1,1,5,5,5,4,5,5,4,4,2,3,4,4,3,3,4,2,3,4,3,4,4,4,4,1,0,1,1,0,1
172,1,1,3,3,5,3,3,3,4,3,0,3,2,3,5,2,5,3,4,3,4,3,3,3,3,1,1,1,0,0,1
173,2,2,6,5,0,1,4,3,5,0,1,5,0,3,4,1,4,4,5,4,4,4,4,4,4,1,0,1,0,1,1
174,2, ,6,4,3,6,4,0,1,6,4,0,6,6,6,6,3,3,6,6,6,1,1,3,4,1,0,0,1,0,2
175,1,2,6,5,4,3,4,5,5,2,0,5,4,5,4,5,4,5,1,4,4,4,4,4,4,1,0,1,1,0,3
176,1,2,6,5,6,5,4,5,5,1,3,5,4,4,6,3,5,5,6,4,5,4,4,4,4,1,0,1,1,1,3
178,2,1,6,6,6,5,5,5,6,5,3,5,4,4,6,3,6,2,6,6,5,4,4,4,4, ,0,1,0,1,1
180,1,2,6,2,5,4,6,2,3,2,1,4,5,4,2,2,1,6,6,3,4,3,5,5,5,1,0,0,0,1,3
181,1,1,6,6,6,5,4,5,5,5,0,4,5,1,1,0,5,0,0,5,4, , , , , , , , , , 
182,2, ,6,5,5,5,5,5,5,5,0,5,2,5,5,2,5,2,6,6,5, , , , , , , , , , 
184,2,2,6,6,6,6,6,6,6,6,3,6,3,3,5,3,6,4,6,6,6, , , , , , , , , , 
185,1,1,4,4,5,4,3,3,4,3,2,5,3,4,5,2,4,2,6,4,5,3,4,4,4,1,0,1,0,1,3
186,1,1,6,6,6,3,2,4,6,4,0,5,3,5,6,2,3,0,6,6,6,4,4,5,5,1,0,1,1,1,2
190,2,1,6,6,6,5,5,5,6,6,1,3,3,3,1,2,5,1,5,6,6, , , , , , , , , , 
191,2,1,6,6,6,3,3,3,5,6,4,4,1,6,4,1,2,4,0,5,3, , , , , , , , , , 
192,2,1,6,5,6,3,4,5,6,0, , , , , , , , ,5,6,5,4,4,4,4,1,0,1,1,1,1
193,2,1,6,5,5,6,4,5,4,0,0,4,3,3,4,3,4,4,5,6,6,5,5,5,4,1,0,1,1,0,3
194,2,1,6,4,6,4,2,4,5,3,1,6,3,6,5,3,5,3,4,5,5, , , , , , , , , , 
195,2,1,6,5,6,4,5,6,3,4,1,3,4,3,1,1,4,5,4,6,5, , , , , , , , , , 
201,2,1,6,6,5,5,6,6,6,5,3,3,6,5,6,0,5,0,6,4,6, , , , , , , , , , 
203, , ,5,3,5,2,0,0,4,1,0,6,4,4,5,1,3,2,5,5,5,4,4,4,4,2,0,0,0,1,2
205,2,2,6,6,6,6,4,6,6,6,3,6,5,6,5,1,4,1,6,6,6, , , , , , , , , , 
206,2,2,4,4,5,5,4,3,4,4,3,5,5,5,5,4,4,5,4,5,4,4,3,4,4,1,0,1,0,1,3
211,2,2,6,5,5,4,4,6,5,4,0,6,5,6,5,4,4,4,6,6,5,4, ,4,3,1,0,1,1,1,3
212,2,2,5,6,5,3,3,6,5,5,1,4,3,5,5,3,3,2,5,5,5, , , , , , , , , , 
213,1,1,6,5,6,4,5,4,6, ,0,4,4,4,4,5,5,0,4,4,4,4,4,4,4,1,0,1,0,1,2
214,1,1,6,5,6,4,5,1,6,6,6,0,3,1,2,1,6,1,5,4,5,0,1,1,1,3,1,1,1,0,2
215,2,1,6,6,6,6,6,6,6,6,3,4,4,6,6,6,6, ,6,6,6,5,5,5,5,1,0,1,1,1,2
216,1,1,5,5,6,3,3,2,3,3,1,6,5,5,6,2,6,1,3,3,2, , , , , , , , , , 
217,1,2,4,4,6,4,4,4,5,4,1,1,4,4,4,5,3,1,4,4,4,3,3,4,4,2,0,1,1,0,3
218,2,2,5,4,6,4,4,3,6,5,4,4,2,4,3,4,5,3,6,6,4,3,3,3,3,1,0,0,0,1,1
219,2,2,6,6,6,5,3,6,2,2,0,4,6,5,3,3,5,5,3,6,5,4,4,4,4,1,0,1,0,0,2
220,2,1,6,6,6,6,5,6,6,6,3,4,4,5,6,2,6,6,6,6,6,3,4,3,3,1,0,1,0,0,2
221,1,2,6,6,5,4,5,6,6,6,0,3,5,4,5,0,6,2,3,4,4,4,4,4,4,1,0,1,1,1,1
227,2,1,4,2,6,5,3,3,2,2,5,3,4,3,2,1,3,4,2,4,5,5,5,5,4,2,0,1,1,0,2
228,1,1,5,4,5,4,3,3,4,4,6,5,2,4,5,4,3,3,3,5,4,4,4,4,5,1,0,1,1,0,1
232,2,1,6,6,6,5,3,6,4,2,1,2,5,5,5,5,4, ,6,6,6,5,5,5,5, ,0,1,1,1,2
233,1,2,6,5,4,4,4,5,5,2,2,4,5,5,5,3,4,3,5,6,5, , , , , , , , , , 
234,1,2,6,5,4,4,4,4,5,2,1,4,5,4,4,2,4,3,4,5,4, , , , , , , , , , 
237,1,2,5,5,4,3,4,5,4,2,2,5,2,3,3,2,4,2,5,4,5,5,4,4,4,1,0,1,1,1,2
239,1,2,5,4,5,4,3,4,4,5,0,2,1,3,2,2,3,4,5,5,5,4,4,4,3,1,0,1,1,1,1
241,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,1,0,1,1,0,3
242,2,1,6,6,6,5,4,5,4,2,0,5,3,6,5,3,3,0,3,5,4,4,5,5,4,1,0,1,1,0,3
243,2,1,4,4,6,5,2,4,6,1,1,6,4,6,2,2,4,5,0,6,5,4,5,4,4,1,0,1,1, ,2
246,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6, , , , , , , , , , 
249,1,2,6,6,6,3,2,6,3,0,0,2,1,2,5,1,3,5,3,5,3,5,5,4,4, ,1,1,1,0,2
250,2,2,6,5,6,4,4,4,5,4,4,4,4,3,4,3,4,2,4,6,3, , , , , , , , , , 
255,2,1,6,6,5,5,5,5,6,6,3,4,4,4,5,4,4,3,6,5,6,4,4,3,3,1,0,1,0,1,1
256,2,1,6,6,6,5,6,5,5,4,0,3,0,2,5,0,6, ,4,1,4,4,4,3,1,2,0,0,1,0,1
258,2,2,6,6,6,6,2,6,3,0,0,6,3,4,6,2,3,0,6,6, ,5,5,5,5, ,0,1,1,1,3
260,2,1,6,6,6,5,5,6,5,6,0,5,4,3,6,1,5,0,6,5,6,3,4,4,5,1,0,1,1,1,3
264,2,1,5,4,5,4,4,2,5,5, , , , , , , , ,6,4,2, , , , , , , , , , 
268,1,1,6,4,5,4,5,4,4,5,4,3,4,5,5,4,4,0,6,5,5,4,4,4,4,1,0,1,1,1,3
271,1,2,6,5,6,5,5,5,5,1,1,5,4,3,5,4,4,6,5,6,6,4,4,4,4,1,0,0,1,0,3
272,1,1,5,1,4,4,3,2,4,5,2,2,1,0,2,6,5,0,6,5,5, , , , , , , , , , 
278,2,2,5,6,4,5,4,6,4,5,1,3,3,4,6,5,1,5,5,4,3,4,4,5,3, ,1,1,0,0,3
280,2,1,6,4,6,4,6,4,6,6,6,2,6,3,2,0,6,6,6,3,3,4,4,3,4,3,0,1,1,1,3
281,1,2,6,1,6,2,3,0,4,2,0,2,0,0,2,0,3,4,2,6,5,4,4,4,4,1,0,0,0,0,1
287,2,2,5,5,5,4,3,4,4,2,1,5,4,4,5,4,3,3,6,4,4,4,4,4,4,1,0,1,1,1,2
289,1,1,5,4,5,0,1,1,3,2,0,0,4,5,4,0,2,0,3,3,1, , , , , , , , , , 
291,1,1,6,6,6,5,5,6,6,6,1,3,3,0,5,0,6,0,5,5,3, , , , , , , , , , 
292,1,2,6,4,5,5,3,5,4,0,2,5,4,4,4,1,4,3,2,5,3,5,5,5,5,1,0,1,0,1,3
293,1,1,5,5,6,3,3,2,1,6,0,4,4,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,3
295,2,2,5,5,5,3,4,4,4,5,3,5,4,4,3,4,4,3,5,4,4,4,4,4,4,1,0,1,1,1,2
296,2,1,6,6,6,5,5,5,6,5,1,5,4,6,6,6,5,1,6,6,6,4,4,4,5,1,0,1,1,1,1
297,1,2,6,5,6,5,5,6,5,5,0,4,2,5,6,5,2,0,6,4,4,5,5,5,5,1,0,1,1,1,3
298,1,2,6,6,6,4,3,6,5,4,3,4,3,3,6,4,4,2,6,6,5,4,4,4,4,1,1,1,1,1,3
299,2,1,3,2,6,4,1,2,5,1,6,3,3,3,4,2,4,3,2,5,5, , , , , , , , , , 
300,2,2,6,6,6,6,6,6,6,1,0,6,5,3,6,0,6,0,0,6,6, , , , , , , , , , 
301,1,2,6,5,6,4,5,4,6,5,3,5,5,3,4,3,5,3,5,5,5, , , , , , , , , , 
304,1,2,5,5,5,5, ,5,5,3,2,4,4,4,6,3,4,3,4,4,3,4,4,4,4,1,0,1,1,0,3
307,1,1,6,6,6,3,5,5,4,4,0,3,3,3,3,3,6,0,3, ,3,4,4,1,1,1,0,1,0,0,1
308,1,1,6,6,6,4,4,5,4,5,0,3,4,2,5,3,4,4,6,5,6, , , , , , , , , , 
309,2, ,6,6,6,6,6,6,6,6,1,3,5,6,6,1,5,0,6,6,6, , , , , , , , , , 
310,1,2,6,5,5,4,5,5,5,4,1,6,2,6,3,2,3,1,5,5,5,4,4,4,4,1,0,1, ,0, 
311,2,1,6,6,6,5,5,6,6,5,3,6,5,6,6,4,6,4,6,6,5,3,1,4,3,1,0,1,1,1,3
312,1,2,6,4,6,4,4,5,4,3,0,6,4,5,4,0,5,6,3,6,4,4,4,4,4,1,0,1,0,1,3
313,1,2,4,2,2,3,3,5,3,2,0,6,0,0,4,0,2,1,1,4,0,5,5,5,4,1,0,1,0,0,3
315,1,2,5,6,6,3,4,5,4,2,0,6,5,5,5,1,5,2,5,6,5,5,5,5,5,1,1,1,1,1,3
316,1,1,3,3,4,5,3,3,5,3,5,5,3,2,1,5,5,4,2,3,3,4,3,4,4,2,0,0,0,0,3
317,1,2,6,5,4,4,1,5,4,0,0,4,5,6,5,1,2,4,0,3,4,4,4,4,3,1,0,1,1,0,3
318,2, ,5,5,6,4,4,6,5,6, , , , , , , , ,4,4,6,3,3,3,4, ,0,1,1,0,3
319,2,1,6,5,6,5,5,6,5,6,3,5,4,5,5,6,5,4,6,6,6,5,5,5,5,1,0,1,1,1,2
320,2,2,6,6,6,4,5,6, ,0,4,6,5,5,6,4,5,0,6,6,6, , , , , , , , , , 
322,1,2,6,3,6,5,3,6,4,6,1,4,5,5,3,2,2,0,1,5,5,4,4,4,4,1,0,1,1,0,3
323,1,2,6,4,5,3,5,6,5,0,2,3,2,3,3,5,5,5,3,3,4,4,5,4,4, ,0,1,1,0,2
325,1,2,5,5,6,4,5,5,5,4,1,4,4,3,2,5,5,0,5,5,3,4, ,5,4,1,0,1,1,1,2
326,2,2,4,4,4,3,3,4,4,3,3,4,2,4,4,4,3,0,5,4, ,4,4,5,5,1,0,1,1,1,2
327,2, ,6,5,4,4,4,4,6,3,4,5,2,5,5,5,5,2,5,5,5,4,4,4,4,2,0,1,1,0,3
328,1,2,6,6,0,3,0,4,6,0,6,5,2,4,2,3,4,3,6,6,6,5,5,5,4,3,0,1,1,1,3
332,2,2,5,5,6,5,4,3,5,6,2,3,3,4,5,1,5,4,4,6,6,3,3,4,4,1,0,0,0,1,1
333,2,2,6,6,6,4,4,5,6,6,3,4,3,3,5,1,3,3,4,6,4, , , , , , , , , , 
334,2,2,6,6,6,4,5,5,6,5,2,6,4,5,6,4,6,3,6,6,6, , , , , , , , , , 
335,2,1,6,6,6,6,6,6,6,5,0,6,6,6,6,3,6,3,6,6,4,4,5,4,4,1,0,1,0,1,2
336,2,2,6,6,6,4,4,5,6,4,0,6,6,6,6,0,6,4,4,6,4,4,4,4,4,1,0,1,0,1,2
337,1,2,5,3,6,4,3,2,6,3,1,2,1,3,5,1,2,2,5,5,5, , , , , , , , , , 
338,1,1,4,4,3,4,3,5,3,0,0,1,3,4,5,3,3,2,3,4,4,5,5,4,4,1,1,1,1,0,3
339,2,1,3,3,6,5,4,6,0,0,0,2,2,6,1,0,4,0,6,6,6,5,5,5,5,1,0,1,1,1,2
340,2,1,5,3,6,4,4,3,2,3,4,4,4,5,3,3,4,5, ,5,5,4,4,3,3, ,0,0,0,0,2
342,2,2,6,5,1,4,6,5,5,3,0,6,5,4,4,0,5,4,5,4,5,4,5,4,4,1,0,1,0,0,3
345,1,2,5,4,4,4,5,4,5,5,2,5,5,4,4,4,4,2,5,5,5,4,4,4,4, ,0,1,1,1,3
346,2,2,4,4,6,4,4,3,4,0,0,5,2,4,6,5,4,6,5,4,3,5,5,5,5,1,0,0,1,0,3
347,2,2,6,6,6,4,4,6,6,1,1,2,4,3,3,0,4,3,4,6,6,5,5,5,4,2,0,1,1,1,3
348,2,1,5,5,6,5,4,5,5,4,0,6,6,5,6,4,6,0,6,5,4,5,5,5,5,1,0,1,0,1,2
352,2,1,5,5,5,5,5,5,5,2,1,3,4,6,5,4,3,1,5,6,6,4,4,4,3,1,0,1,1,1,2
353,2,1,6,5,5,4,4,5,5,5,3,2,2,3,2,2,5,5,4,4,4, , , , , , , , , , 
355,1, ,6,5,6,6,5,5,6,4,2,6,4,6,3,3,6,5,5,6,5,4,4,4,4,1,0,1,1,0,3
356,2,1,6,5,6,5,5,5,6,6,0,1,3,3,4,3,5,1,5,6,5, , , , , , , , , , 
358,1,2,5,6,6,3,4,6,5,5,0,5,6,4,4,3,4,3,6,6,6,4,4,4,5,1,1,1,1,1,1
360,1,2,6,6,6,3,3,6,6,5,0,6,4,4,6,2,3,2,6,5,4,3,3,4,4, ,0,1,1,1,3
362,2,1,6,6,6,6,6,3,6,1,0,3,3,5,5,4,4,5,0,6,5,5,5,5,4,1,0,1,1,0,3
363,2,2,6,3,5,4,4,3,3,1,6,6,0,3,3,6,4,0,2,6,3, , , , , , , , , , 
365,1,1,6,5,6,3,4,3,6,4,0,1,1,3,4,5,5,1,6,3,4, , , , , , , , , , 
366,2,2,6,2,6,4,4,6,0,4,3,4,1,4,2,5,4,3,0,5,6,4,5,5,5, ,1,1,1,0,3
368,2,2,4,6,3,3,4,5,3,4,3,3,2,5,5,3,2,5,6,6,6,3,4,4,4,1,1,1,1,1,3
370,1,2,6,4,4,2,3,5,5,5,0,2,0,2,1,2,3,0,5,5,4,3,4,4,4,1,0,1,0,1,3
372,2,2,6,5,6,3,5,6,4,5,0,5,1,6,5,2,5,5,5,4,6,4,4,4,4,1,1,0,0,0,3
373,1,2,4,4,5,1,4,4,1,0,0,4,3,2,4,1,5,6,1,4,1,4,4,5,5,1,0,1,1,0,3
374,2,2,6,5,6,6,5,5,5,1,2,5,4,4,5,3,4,5,5,6,5,5,5,5,5,1,0,1,1,0,3
375,1,1,5,5,5,2,3,5, ,1,0,0,4,1,0,0,1,0,0,1,1,4,4,4,3,1,0,1,0,0,1
376,1,1,5,5,5,3,2,4,5,3,1,3,2,4,5,3,4,2,4,4,4,3,3,4,3,1,0,0,0,1,2
378,2,2,6,6,6,3,6,6,6,6,0,4,6,4,6,3,6,3,6,6,6,5,5,5,5,1,0,1,0,1,2
380,2,1,6,6,6,5,4,6,6,6,3,4,3,5,6,4,6,3,6,6,6,4,4,4,3,1,0,1,1,1,1
384,2,1,4,4,6,4,4,3,3,6,1,3,2,4,4,4,1,3,6,6,6,1,3,4,4,1,1,1,1,1,2
385,1,2,6,6,6,5,5,5,6,4,4,5,4,5,4,4,6,3,6,6,6,5,5,4,4,3,0,1,1,1,1
386,2,1,6,6,6,5,3,6,6,2,1,2,3,6,5,6,5,1,6,6,6,4,4,4,4,1,0,1,1,1,3
389,1,2,6,5,4,2,5,5,3,5,1,5,5,0,6,0,5,5,5,4,4,3,4,4,4, ,0,1,1,0,3
392,2,2,6,6,5,6,5,6,4,3,2,5,5,3,6,1,4,5,6,6,6,5,4,4,4,1,1,1,0,0,3
394,2,2,3,5,6,5,3,4,2,2,3,4,4,4,5,2,3,4,2,6,6,4,4,4,4, ,0,0,1,0,3
396,1,2,5,4,5,4,3,4,6,5,2,6,5,2,4,3,5,5,5,5,5, , , , , , , , , , 
397,2,2,1,3,0,2,3,2,1,0,1,4,4,3,3,3, ,0,2,4,1, , , , , , , , , , 
398,2,2,6,5,6,4,5,5,4,6,3,5,4,5,5,4,4,2,6,6,5,1,4,4,4,1,0,1,1,1,3
399,2,2,6,6,6,6,6,6,6,6,0,4,4,4,6,2,5,4,6,6,6,4,4,4,4,1,0,1,1,1,2
400,2, ,6,6,6,5,5,5,6,0,3,4,3,5,6,2,4,4,5,6,4,5,5,4,4,1,0,1,1,1,3
401,2,1,6,6,6,5,5,5,5,6, ,3,4,6,5,3,5,6,5,6,6, , , , , , , , , , 
